population;profit;trucks
6.1101;17.592;160
5.5277;9.1302;140
8.5186;13.662;100
7.0032;11.854;440
5.8598;6.8233;200
8.3829;11.886;180
7.4764;4.3483;140
8.5781;12.0;40
6.4862;6.5987;240
5.0546;3.8166;40
5.7107;3.2522;80
14.164;15.505;420
5.734;3.1551;80
8.4084;7.2258;200
5.6407;0.71618;2
5.3794;3.5129;100
6.3654;5.3048;80
5.1301;0.56077;2
6.4296;3.6518;60
7.0708;5.3893;180
6.1891;3.1386;7
20.27;21.767;760
5.4901;4.263;60
6.3261;5.1875;200
5.5649;3.0825;80
18.945;22.638;100
12.828;13.501;28
10.957;7.0467;100
13.176;14.692;420
22.203;24.147;240
5.2524;-1.22;20
6.5894;5.9966;180
9.2482;12.134;420
5.8918;1.8495;40
8.2111;6.5426;60
7.9334;4.5623;100
8.0959;4.1164;100
5.6063;3.3928;60
12.836;10.117;20
6.3534;5.4974;20
5.4069;0.55657;2
6.8825;3.9115;100
11.708;5.3854;180
5.7737;2.4406;40
7.8247;6.7318;220
7.0931;1.0463;40
5.0702;5.1337;80
5.8014;1.844;4
11.7;8.0043;200
5.5416;1.0179;3
7.5402;6.7504;180
5.3077;1.8396;40
7.4239;4.2885;80
7.6031;4.9981;60
6.3328;1.4233;40
6.3589;-1.4211;0
6.2742;2.4756;80
5.6397;4.6042;20
9.3102;3.9624;20
9.4536;5.4141;140
8.8254;5.1694;60
5.1793;-0.74279;0
21.279;17.929;20
14.908;12.054;20
18.959;17.054;580
7.2182;4.8852;20
8.2951;5.7442;80
10.236;7.7754;240
5.4994;1.0173;40
20.341;20.992;260
10.136;6.6799;220
7.3345;4.0259;80
6.0062;1.2784;3
7.2259;3.3411;60
5.0269;-2.6807;40
6.5479;0.29678;1
7.5386;3.8845;80
5.0365;5.7014;200
10.274;6.7526;140
5.1077;2.0576;5
5.7292;0.47953;1
5.1884;0.20421;1
6.3557;0.67861;2
9.7687;7.5435;180
6.5159;5.3436;200
8.5172;4.2415;100
9.1802;6.7981;80
6.002;0.92695;2
5.5204;0.152;1
5.0594;2.8214;20
5.7077;1.8451;40
7.6366;4.2959;40
5.8707;7.2029;100
5.3054;1.9869;20
8.2934;0.14454;1
13.394;9.0551;19
5.4369;0.61705;2